iter	Passed	Remaining
540	10821	9181
541	10830	9151
542	10838	9121
543	10849	9094
544	10857	9064
545	10867	9036
546	10877	9008
547	10885	8978
548	10893	8948
549	10904	8922
550	10913	8893
551	10922	8864
552	10930	8835
553	10946	8812
554	10955	8783
555	10965	8756
556	10974	8728
557	10983	8699
558	10992	8671
559	11001	8644
560	11010	8616
561	11020	8588
562	11029	8561
563	11045	8538
564	11059	8514
565	11076	8493
566	11100	8477
567	11123	8459
568	11131	8432
569	11151	8412
570	11165	8388
571	11173	8360
572	11182	8333
573	11191	8305
574	11199	8278
575	11208	8250
576	11217	8223
577	11226	8196
578	11235	8169
579	11244	8142
580	11253	8115
581	11262	8089
582	11271	8062
583	11280	8035
584	11289	8008
585	11297	7981
586	11307	7955
587	11316	7929
588	11326	7903
589	11334	7876
590	11343	7850
591	11351	7823
592	11360	7797
593	11369	7771
594	11378	7744
595	11387	7719
596	11397	7693
597	11406	7667
598	11416	7642
599	11425	7616
600	11433	7590
601	11441	7564
602	11450	7538
603	11459	7512
604	11467	7487
605	11476	7461
606	11484	7435
607	11494	7410
608	11502	7384
609	11511	7359
610	11519	7334
611	11530	7310
612	11539	7284
613	11547	7259
614	11555	7233
615	11563	7208
616	11572	7183
617	11582	7159
618	11590	7134
619	11599	7109
620	11609	7085
621	11618	7060
622	11627	7036
623	11636	7011
624	11645	6987
625	11654	6963
626	11663	6938
627	11672	6914
628	11681	6890
629	11690	6865
630	11698	6841
631	11708	6817
632	11716	6793
633	11726	6769
634	11734	6745
635	11743	6721
636	11752	6697
637	11761	6673
638	11770	6649
639	11779	6626
640	11788	6602
641	11797	6578
642	11805	6554
643	11814	6531
644	11822	6507
645	11831	6483
646	11840	6460
647	11848	6436
648	11857	6412
649	11866	6389
650	11875	6366
651	11883	6342
652	11892	6319
653	11901	6296
654	11910	6273
655	11919	6250
656	11928	6227
657	11936	6203
658	11944	6180
659	11953	6157
660	11962	6135
661	11971	6112
662	11981	6089
663	11990	6067
664	11999	6044
665	12007	6021
666	12016	5999
667	12025	5976
668	12033	5953
669	12042	5931
670	12051	5909
671	12061	5886
672	12069	5864
673	12078	5842
674	12087	5819
675	12095	5797
676	12104	5775
677	12114	5753
678	12123	5731
679	12132	5709
680	12140	5687
681	12149	5665
682	12160	5643
683	12169	5622
684	12183	5602
685	12192	5580
686	12202	5559
687	12211	5537
688	12221	5516
689	12231	5495
690	12240	5473
691	12249	5451
692	12257	5430
693	12266	5408
694	12274	5386
695	12283	5365
696	12292	5343
697	12301	5322
698	12310	5301
699	12319	5279
700	12327	5258
701	12336	5236
702	12344	5215
703	12353	5194
704	12362	5172
705	12371	5151
706	12380	5130
707	12388	5109
708	12396	5087
709	12405	5067
710	12414	5046
711	12423	5025
712	12432	5004
713	12441	4983
714	12449	4962
715	12458	4941
716	12467	4920
717	12475	4900
718	12484	4879
719	12493	4858
720	12502	4838
721	12512	4817
722	12520	4797
723	12529	4776
724	12538	4756
725	12548	4735
726	12556	4715
727	12565	4694
728	12574	4674
729	12583	4654
730	12591	4633
731	12600	4613
732	12609	4592
733	12617	4572
734	12625	4552
735	12634	4532
736	12643	4511
737	12652	4491
738	12661	4471
739	12670	4451
740	12678	4431
741	12687	4411
742	12695	4391
743	12704	4371
744	12713	4351
745	12721	4331
746	12729	4311
747	12738	4291
748	12746	4271
749	12754	4251
750	12763	4231
751	12772	4212
752	12780	4192
753	12788	4172
754	12797	4152
755	12805	4133
756	12813	4113
757	12822	4093
758	12831	4074
759	12839	4054
760	12847	4035
761	12858	4016
762	12867	3996
763	12875	3977
764	12882	3957
765	12890	3937
766	12897	3917
767	12904	3898
768	12912	3878
769	12919	3859
770	12927	3839
771	12934	3819
772	12941	3800
773	12948	3780
774	12956	3761
775	12963	3742
776	12970	3722
777	12978	3703
778	12985	3684
779	12993	3664
780	13000	3645
781	13007	3626
782	13015	3606
783	13022	3587
784	13029	3568
785	13036	3549
786	13044	3530
787	13052	3511
788	13059	3492
789	13067	3473
790	13074	3454
791	13081	3435
792	13088	3416
793	13095	3397
794	13103	3378
795	13111	3360
796	13118	3341
797	13125	3322
798	13132	3303
799	13140	3285
800	13147	3266
801	13155	3247
802	13162	3229
803	13170	3210
804	13177	3192
805	13184	3173
806	13192	3155
807	13199	3136
808	13207	3118
809	13214	3099
810	13221	3081
811	13228	3062
812	13236	3044
813	13243	3026
814	13250	3007
815	13258	2989
816	13265	2971
817	13272	2952
818	13279	2934
819	13287	2916
820	13294	2898
821	13302	2880
822	13310	2862
823	13317	2844
824	13324	2826
825	13331	2808
826	13339	2790
827	13346	2772
828	13354	2754
829	13360	2736
830	13368	2718
831	13375	2700
832	13382	2682
833	13389	2665
834	13397	2647
835	13405	2629
836	13412	2612
837	13419	2594
838	13427	2576
839	13434	2558
840	13441	2541
841	13449	2523
842	13456	2506
843	13463	2488
844	13471	2471
845	13477	2453
846	13485	2435
847	13492	2418
848	13499	2400
849	13506	2383
850	13513	2366
851	13520	2348
852	13527	2331
853	13534	2313
854	13542	2296
855	13549	2279
856	13556	2262
857	13563	2244
858	13570	2227
859	13577	2210
860	13583	2192
861	13590	2175
862	13597	2158
863	13605	2141
864	13612	2124
865	13620	2107
866	13628	2090
867	13636	2073
868	13643	2056
869	13650	2039
870	13657	2022
871	13665	2005
872	13672	1989
873	13680	1972
874	13687	1955
875	13694	1938
876	13702	1921
877	13709	1904
878	13716	1888
879	13724	1871
880	13731	1854
881	13738	1838
882	13745	1821
883	13753	1804
884	13760	1788
885	13767	1771
886	13775	1754
887	13782	1738
888	13789	1721
889	13796	1705
890	13804	1688
891	13811	1672
892	13818	1655
893	13825	1639
894	13832	1622
895	13840	1606
896	13847	1590
897	13854	1573
898	13862	1557
899	13869	1541
900	13876	1524
901	13884	1508
902	13891	1492
903	13898	1475
904	13906	1459
905	13915	1443
906	13924	1427
907	13933	1411
908	13942	1395
909	13951	1379
910	13961	1364
911	13970	1347
912	13978	1331
913	13986	1315
914	13994	1300
915	14003	1284
916	14012	1268
917	14019	1252
918	14028	1236
919	14037	1220
920	14045	1204
921	14053	1188
922	14061	1173
923	14070	1157
924	14078	1141
925	14087	1125
926	14096	1110
927	14104	1094
928	14112	1078
929	14120	1062
930	14129	1047
931	14138	1031
932	14146	1015
933	14155	1000
934	14164	984
935	14173	969
936	14181	953
937	14190	937
938	14198	922
939	14207	906
940	14216	891
941	14223	875
942	14232	860
943	14241	844
944	14250	829
945	14259	813
946	14267	798
947	14276	783
948	14284	767
949	14293	752
950	14302	736
951	14310	721
952	14319	706
953	14327	690
954	14336	675
955	14345	660
956	14353	644
957	14362	629
958	14370	614
959	14379	599
960	14387	583
961	14396	568
962	14404	553
963	14412	538
964	14420	523
965	14429	507
966	14437	492
967	14446	477
968	14454	462
969	14463	447
970	14472	432
971	14481	417
972	14490	402
973	14498	387
974	14507	371
975	14515	356
976	14524	341
977	14532	326
978	14541	311
979	14550	296
980	14558	281
981	14567	267
982	14575	252
983	14584	237
984	14592	222
985	14600	207
986	14608	192
987	14617	177
988	14625	162
989	14633	147
990	14642	132
991	14651	118
992	14659	103
993	14668	88
994	14677	73
995	14687	58
996	14696	44
997	14704	29
998	14712	14
999	14721	0
